anime_id,related_anime_id,relation_type
9627,10908,Sequel
9627,30704,Other
12563,5542,Other
12563,5544,Other
12563,5571,Other
7745,4038,Prequel
10824,210,Other
4804,4166,Prequel
4804,9005,Sequel
353,352,Prequel
26349,29067,Sequel
32792,87,Prequel
32792,88,Sequel
32792,6336,Alternative version
11049,5203,Alternative version
3627,2595,Prequel
3627,14827,Sequel
33126,3653,Parent story
2205,109,Sequel
2205,2212,Summary
17535,6702,Parent story
17535,12049,Sequel
1151,1152,Sequel
1151,2181,Spin-off
2025,4182,Side story
2025,7338,Sequel
15125,18121,Sequel
15125,19297,Other
15125,32454,Spin-off
7193,4876,Alternative version
7193,8554,Alternative version
7193,26279,Alternative version
7193,28053,Alternative version
7193,29718,Alternative version
7193,7651,Summary
27621,17707,Prequel
27621,34336,Sequel
1969,85,Alternative version
1969,1968,Prequel
8518,99,Parent story
808,495,Prequel
35507,30813,Other
1547,7980,Sequel
6907,33946,Other
35328,8449,Other
35328,23333,Other
32933,32751,Parent story
13677,9627,Other
13677,11737,Other
7836,22831,Alternative version
12663,2835,Parent story
13169,13171,Other
13169,13173,Other
13169,13175,Other
3707,10286,Side story
9074,7647,Prequel
446,447,Prequel
446,1024,Prequel
1379,486,Sequel
1693,2127,Spin-off
1693,2128,Alternative version
37789,541,Side story
22197,18983,Parent story
15819,2076,Parent story
25441,23433,Parent story
2476,756,Alternative version
2476,3328,Spin-off
2476,3759,Side story
18,187,Prequel
18,3931,Summary
18,5228,Side story
18,15059,Sequel
10236,29527,Other
10236,29529,Other
31014,37735,Other
5060,7337,Side story
5060,9865,Side story
5060,8479,Sequel
546,547,Alternative version
546,2015,Other
546,2027,Side story
5466,629,Prequel
5466,1182,Prequel
33915,31599,Other
10244,10250,Parent story
5624,8278,Other
34644,32866,Parent story
6653,1491,Alternative version
33154,31362,Prequel
10249,5955,Prequel
10249,8937,Spin-off
2618,11685,Side story
2618,21255,Alternative version
35982,19319,Prequel
35982,24625,Sequel
35982,35567,Side story
1921,1293,Parent story
31599,33915,Other
31599,33922,Side story
31073,27441,Other
31073,31072,Other
9754,8129,Parent story
33217,33215,Other
14889,14073,Parent story
29830,29829,Prequel
29830,29831,Sequel
23475,18151,Parent story
1259,3515,Prequel
1259,12929,Sequel
459,21,Parent story
18533,1572,Parent story
26301,8451,Alternative version
2661,2471,Parent story
31486,27629,Prequel
31486,36827,Sequel
10016,10500,Other
10016,10501,Other
10016,10502,Other
4918,3091,Prequel
4918,4938,Side story
4918,6864,Sequel
33095,28735,Prequel
1149,833,Prequel
3747,4057,Sequel
10218,33,Alternative version
10218,12113,Sequel
14837,813,Parent story
14837,25389,Sequel
14837,30694,Alternative version
21591,21471,Other
21591,21607,Other
678,679,Alternative version
678,3005,Prequel
17979,9292,Other
17979,17483,Other
17979,17485,Other
17979,17977,Other
17979,17981,Other
8140,3858,Alternative version
8140,8141,Alternative version
6707,4898,Prequel
6707,9136,Side story
34438,1575,Alternative version
34438,34439,Sequel
1488,284,Alternative version
1488,33232,Alternative version
9515,8074,Parent story
8706,8710,Prequel
7435,2229,Alternative version
7435,7436,Sequel
7435,7491,Sequel
12191,603,Alternative setting
12191,1534,Alternative setting
12191,1929,Alternative setting
12191,1932,Alternative setting
12191,3692,Alternative setting
12191,5684,Alternative setting
12191,7645,Alternative setting
12191,9893,Alternative setting
12191,16419,Alternative setting
12191,21407,Alternative setting
12191,28669,Alternative setting
12191,31884,Alternative setting
12191,34290,Alternative setting
12191,36593,Alternative setting
12191,12221,Spin-off
12191,16442,Spin-off
12191,34302,Spin-off
12191,34303,Spin-off
12191,15307,Side story
33018,33023,Alternative setting
33018,36419,Other
11061,136,Alternative version
11061,137,Alternative version
11061,138,Alternative version
11061,139,Alternative version
11061,13271,Side story
11061,19951,Side story
6227,1561,Prequel
23623,17549,Prequel
23623,32547,Side story
23623,36990,Sequel
32983,11665,Prequel
32983,34534,Side story
32983,34591,Sequel
32122,28977,Parent story
33028,16592,Prequel
33028,32189,Sequel
33028,34103,Sequel
29377,29375,Character
29377,29379,Character
64,65,Sequel
64,2237,Other
64,18041,Alternative version
5682,438,Alternative version
5682,8705,Spin-off
382,23985,Sequel
13373,13259,Other
13373,13309,Other
13373,13375,Other
13373,17791,Other
13373,17811,Other
13373,17813,Other
13373,17815,Other
13373,17819,Other
821,185,Full story
821,186,Full story
821,187,Full story
821,3931,Sequel
7176,9340,Side story
1206,1441,Spin-off
4095,7621,Alternative version
4095,30967,Alternative version
8277,9362,Side story
8277,15377,Sequel
254,253,Prequel
254,255,Sequel
8062,98,Parent story
37104,35540,Other
36451,36607,Prequel
36451,36608,Sequel
31158,28607,Other
36662,5151,Alternative version
34643,34234,Alternative version
30547,9874,Parent story
19363,16918,Prequel
35249,34453,Alternative version
5472,799,Prequel
799,5472,Sequel
560,75,Sequel
37370,32827,Other
30952,28881,Prequel
1124,290,Sequel
36702,23777,Prequel
36702,25777,Alternative version
2171,235,Parent story
6337,7276,Alternative setting
34498,36125,Other
34498,36162,Other
34498,36223,Other
36666,5027,Alternative setting
23299,17873,Parent story
8769,10020,Sequel
8769,10108,Side story
8769,19727,Other
4124,1534,Parent story
24457,22,Parent story
24457,21755,Other
2342,2341,Prequel
2342,2343,Sequel
2342,2360,Summary
880,50,Prequel
880,2198,Sequel
1469,13201,Sequel
1469,15937,Spin-off
35403,5812,Alternative version
35403,30018,Alternative version
3429,1055,Prequel
22831,7836,Alternative version
19391,16498,Other
4554,13781,Side story
733,734,Sequel
31747,27687,Prequel
5162,3225,Prequel
5162,5713,Side story
5162,14575,Sequel
37651,33047,Prequel
3737,3738,Sequel
3737,6878,Spin-off
3737,30751,Prequel
19255,15377,Parent story
36520,35739,Sequel
2264,2565,Alternative setting
8241,10301,Side story
31165,9989,Other
31165,28725,Other
31165,34710,Other
1925,1293,Prequel
10384,7748,Other
10384,22785,Other
14995,37224,Other
5163,2904,Parent story
5163,33156,Side story
9274,6511,Parent story
9274,10199,Other
9274,24269,Other
23065,23051,Other
23065,23055,Other
23065,23061,Other
6015,2956,Sequel
32377,8792,Other
9548,2225,Full story
32380,30831,Parent story
9806,11841,Sequel
9806,29910,Prequel
9806,29935,Spin-off
9806,29937,Spin-off
9806,33278,Spin-off
9806,36732,Spin-off
30096,30095,Prequel
30096,30097,Sequel
1752,1753,Side story
1752,1756,Prequel
32593,32596,Other
32593,34416,Other
33051,31251,Prequel
30144,11268,Character
30144,19305,Prequel
13639,14853,Other
13639,17677,Other
13639,17679,Other
13639,19573,Other
835,836,Prequel
835,21119,Side story
10701,2331,Alternative version
831,1014,Sequel
1609,99,Prequel
1609,6199,Side story
1910,1483,Prequel
29738,2571,Character
29738,3858,Character
33843,30781,Parent story
6172,37023,Other
