anime_id,title,title_english,title_japanese,title_synonyms,image_url,type,source,episodes,status,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,licensor,studio,aired_from,aired_to
9736,Astarotte no Omocha!,Astarotte's Toy,アスタロッテのおもちゃ！,Lotte no Omocha!,https://cdn.myanimelist.net/images/anime/3/75562.jpg,TV,Manga,12,Finished Airing,23 min. per ep.,PG-13 - Teens 13 or older,6.75,45891,4517.0,925,92243,200,Spring 2011,,Diomedea,2011-04-11,2011-06-26
3027,Hokuto no Ken: Yuria-den,,真救世主伝説 北斗の拳 ユリア伝,Fist of the North Star: The Legend of Yuria,https://cdn.myanimelist.net/images/anime/10/29633.jpg,OVA,,1,Finished Airing,1 hr. 4 min.,R - 17+ (violence & profanity),7.19,2244,2846.0,4911,4883,7,Winter 2007,,TMS Entertainment,2007-02-23,2007-02-23
1618,Soreyuke! Uchuu Senkan Yamamoto Yohko (1999),,それゆけ!宇宙戦艦　ヤマモト・ヨーコ,Starship Girl Yamamoto Yohko (TV),https://cdn.myanimelist.net/images/anime/5/30937.jpg,TV,Novel,26,Finished Airing,25 min. per ep.,PG-13 - Teens 13 or older,6.7,684,4774.0,5898,3077,7,Spring 1999,,J.C.Staff,1999-04-04,1999-09-26
15479,Hey Yo Yorang,,꼬마여우 요랑,My Little Fox,https://cdn.myanimelist.net/images/anime/7/42931.jpg,TV,,26,Finished Airing,25 min. per ep.,G - All Ages,6.59,32,10428.0,11171,206,1,Summer 2003,,,2003-07-23,2004-02-11
35007,Kamigami no Ki: Xmas Special,,神々の記 Xmas特別編,Kamigami no Ki: Christmas Special,https://cdn.myanimelist.net/images/anime/3/84531.jpg,ONA,Original,1,Finished Airing,2 min.,PG - Children,5.38,24,10731.0,12887,104,0,Fall 2016,,Sotsu,2016-12-21,2016-12-21
34295,Choboraunyopomi Gekijou Dai San Maku Ai Mai Mii: Surgical Friends,Ai-Mai-Mi Surgical Friends,ちょぼらうにょぽみ劇場第三幕『あいまいみー～Surgical Friends～』,,https://cdn.myanimelist.net/images/anime/11/83846.jpg,TV,4-koma manga,12,Finished Airing,3 min. per ep.,PG-13 - Teens 13 or older,6.16,2482,6895.0,4548,5977,16,Winter 2017,,Seven,2017-01-03,2017-03-21
24603,Xiongmao Monogatari TaoTao,,シュンマオ物語 タオタオ,"Shunmao Monogatari Taotao, The Story of Panda Taotao, Story of Panda Tao Tao",https://cdn.myanimelist.net/images/anime/3/63351.jpg,Movie,,1,Finished Airing,1 hr. 30 min.,PG - Children,6.03,35,12720.0,11727,165,0,Fall 1981,,,1981-12-28,1981-12-28
31240,Re:Zero kara Hajimeru Isekai Seikatsu,Re:ZERO -Starting Life in Another World-,Re：ゼロから始める異世界生活,"Re: Life in a different world from zero, ReZero",https://cdn.myanimelist.net/images/anime/11/79410.jpg,TV,Light novel,25,Finished Airing,25 min. per ep.,R - 17+ (violence & profanity),8.43,438250,153.0,36,720575,27120,Spring 2016,Funimation,White Fox,2016-04-04,2016-09-19
5561,Yayoi,,弥生,Police Girl Yayoi,https://cdn.myanimelist.net/images/anime/7/51335.jpg,OVA,,1,Finished Airing,7 min.,Rx - Hentai,4.76,183,,9438,524,0,Fall 1997,,,1997-12-28,1997-12-28
36649,Banana Fish,,バナナフィッシュ,,https://cdn.myanimelist.net/images/anime/1511/90735.jpg,TV,Manga,0,Not yet aired,,,0.0,0,,4323,6694,3,Summer 2018,,MAPPA,2018-07-09,
33846,Garo: Guren no Tsuki - Yurugaro,,ゆるがろ,"Garo: Guren no Tsuki Omake, Garo: Crimson Moon Specials",https://cdn.myanimelist.net/images/anime/5/81488.jpg,Special,Original,21,Finished Airing,2 min. per ep.,G - All Ages,5.41,82,8528.0,9247,584,0,Summer 2016,,DLE,2016-07-06,2016-07-06
200,Tenshi na Konamaiki,Cheeky Angel,天使な小生意気,,https://cdn.myanimelist.net/images/anime/2/32701.jpg,TV,Manga,50,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,7.56,6621,1479.0,2814,17929,120,Spring 2002,,TMS Entertainment,2002-04-06,2003-03-29
679,Shadow Skill (1996),Shadow Skill: The Movie,影技 SHADOW SKILL,"Shadow Skill OVA, Shadow Skill 2",https://cdn.myanimelist.net/images/anime/10/37959.jpg,OVA,,3,Finished Airing,30 min. per ep.,R - 17+ (violence & profanity),6.71,1719,4729.0,5513,3666,10,Summer 1996,Manga Entertainment,Zero-G Room,1996-09-21,1996-11-21
1395,Future GPX Cyber Formula Sin,,新世紀ＧＰＸサイバーフォーミュラＳＩＮ,Shinseki-GPX Cyber Formula Sin,https://cdn.myanimelist.net/images/anime/6/29342.jpg,OVA,,5,Finished Airing,30 min. per ep.,PG-13 - Teens 13 or older,7.64,555,1242.0,7674,1344,11,Spring 1998,,Sunrise,1998-05-09,2018-05-09
25397,Absolute Duo,Absolute Duo,アブソリュート・デュオ,,https://cdn.myanimelist.net/images/anime/4/68839.jpg,TV,Light novel,12,Finished Airing,24 min. per ep.,R - 17+ (violence & profanity),6.76,147651,4476.0,265,260712,992,Winter 2015,Funimation,8bit,2015-01-04,2015-03-22
9121,Heroman Specials,,ヒーローマン,,https://cdn.myanimelist.net/images/anime/10/44081.jpg,Special,Original,3,Finished Airing,4 min. per ep.,PG-13 - Teens 13 or older,6.4,851,5988.0,6708,2147,1,Summer 2010,,Bones,2010-09-22,2011-03-16
